order,college_code,Institute
85,3192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai"
86,6991,"Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune"
87,3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai"
88,1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati"
89,6122,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune"
90,6755,"JSPM Narhe Technical Campus, Pune."
91,6283,"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli"
92,3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai"
93,4142,"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur"
94,5449,"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule"
95,6179,"Indira College of Engineering & Management, Pune"
96,3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai"
97,6250,"D.Y. Patil College of Engineering and Technology, Kolhapur"
98,6182,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)"
99,2113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad"
100,3210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)"
101,5139,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar."
102,6772,"NBN Sinhgad Technical Institutes Campus, Pune"
103,5151,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik."
104,6732,"Ajeenkya DY Patil School of Engineering, Lohegaon, Pune"
105,2114,"Deogiri Institute of Engineering and Management Studies, Aurangabad"
106,3218,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar"
107,3471,"New Horizon Institute of Technology & Management, Thane"
108,6298,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune"
109,4137,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur"
110,6187,"Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa-Saswad Road, Pune"
111,6203,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune"
112,4123,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur"
113,3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai"
114,6268,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar"
115,6311,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi"
116,5172,"R. C. Patel Institute of Technology, Shirpur"
