CAP_Round,College Code,Institute,Location,Status,Branch Code,Branch,DEFOPENS_Rank,DEFOBCS_Rank,DEFROBCS_Rank,DEFRNT1S_Rank,DEFRNT2S_Rank,DEFRNT3S_Rank,DEFRSCS_Rank,DEFRVJS_Rank,EWS_Rank,GNT1H_Rank,GNT1O_Rank,GNT1S_Rank,GNT2H_Rank,GNT2O_Rank,GNT2S_Rank,GNT3H_Rank,GNT3O_Rank,GNT3S_Rank,GOBCO_Rank,GOBCS_Rank,GOBCH_Rank,GOPENH_Rank,GOPENO_Rank,GOPENS_Rank,GSCH_Rank,GSCO_Rank,GSCS_Rank,GSTH_Rank,GSTO_Rank,GSTS_Rank,GVJH_Rank,GVJO_Rank,GVJS_Rank,LNT1O_Rank,LNT1S_Rank,LNT2O_Rank,LNT2S_Rank,LNT3O_Rank,LNT3S_Rank,LOBCO_Rank,LOBCS_Rank,LOBCH_Rank,LOPENH_Rank,LOPENO_Rank,LOPENS_Rank,LSCH_Rank,LSCO_Rank,LSCS_Rank,LSTH_Rank,LSTO_Rank,LSTS_Rank,LVJH_Rank,LVJO_Rank,LVJS_Rank,MI_Rank,ORPHAN_Rank,PWDOPENH_Rank,PWDOPENS_Rank,PWDROBC_Rank,PWDROBCS_Rank,PWDRNT3S_Rank,PWDRSCS_Rank,PWDSCS_Rank,PWDRVJS_Rank,TFWS_Rank,DEFOPENS_Percentile,DEFOBCS_Percentile,DEFROBCS_Percentile,DEFRNT1S_Percentile,DEFRNT2S_Percentile,DEFRNT3S_Percentile,DEFRSCS_Percentile,DEFRVJS_Percentile,EWS_Percentile,GNT1H_Percentile,GNT1O_Percentile,GNT1S_Percentile,GNT2H_Percentile,GNT2O_Percentile,GNT2S_Percentile,GNT3H_Percentile,GNT3O_Percentile,GNT3S_Percentile,GOBCO_Percentile,GOBCS_Percentile,GOBCH_Percentile,GOPENH_Percentile,GOPENO_Percentile,GOPENS_Percentile,GSCH_Percentile,GSCO_Percentile,GSCS_Percentile,GSTH_Percentile,GSTO_Percentile,GSTS_Percentile,GVJH_Percentile,GVJO_Percentile,GVJS_Percentile,LNT1O_Percentile,LNT1S_Percentile,LNT2O_Percentile,LNT2S_Percentile,LNT3O_Percentile,LNT3S_Percentile,LOBCO_Percentile,LOBCS_Percentile,LOBCH_Percentile,LOPENH_Percentile,LOPENO_Percentile,LOPENS_Percentile,LSCH_Percentile,LSCO_Percentile,LSCS_Percentile,LSTH_Percentile,LSTO_Percentile,LSTS_Percentile,LVJH_Percentile,LVJO_Percentile,LVJS_Percentile,MI_Percentile,ORPHAN_Percentile,PWDOPENH_Percentile,PWDOPENS_Percentile,PWDROBC_Percentile,PWDROBCS_Percentile,PWDRNT3S_Percentile,PWDRSCS_Percentile,PWDSCS_Percentile,PWDRVJS_Percentile,TFWS_Percentile
1,1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100552710,Petro Chemical Engineering,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,86378,Null,107265,137370,51738,Null,106203,Null,Null,88877,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,39830,Null,Null,91096,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,58.5474069,Null,42.9215913,9.7383065,78.0359147,Null,43.5071268,Null,Null,56.7366842,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,83.3890161,Null,Null,55.2985075,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1,1012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101219110,Civil Engineering,Null,Null,Null,Null,Null,Null,Null,Null,96525,Null,Null,Null,102191,68148,Null,117501,Null,Null,86167,Null,86831,74562,59087,Null,101880,82736,Null,124766,Null,Null,80305,Null,Null,Null,Null,Null,Null,Null,Null,87157,Null,108125,82581,68951,Null,99853,Null,Null,111381,123039,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,60201,Null,Null,Null,Null,Null,Null,Null,Null,51.0567213,Null,Null,Null,46.8567142,69.5976990,Null,33.3408586,Null,Null,58.5474069,Null,58.1382561,65.9622938,74.1356658,Null,47.3478734,60.9799222,Null,26.0127532,Null,Null,62.3996115,Null,Null,Null,Null,Null,Null,Null,Null,58.1195238,Null,42.5530244,60.9799222,69.0354573,Null,49.0455617,Null,Null,39.4392454,27.6545345,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,73.4109953
1,1012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101224510,Computer Engineering,63718,Null,90934,Null,Null,Null,Null,Null,27755,32367,Null,Null,40791,Null,Null,Null,Null,Null,24413,Null,32855,31195,21624,Null,45916,28294,Null,69281,63337,Null,31317,28675,Null,Null,Null,27429,Null,Null,Null,25524,Null,29760,28640,24819,Null,42392,44126,Null,96270,Null,Null,Null,Null,Null,Null,Null,109414,Null,Null,Null,Null,Null,Null,Null,18389,71.6671025,Null,55.4490884,Null,Null,Null,Null,Null,88.6695314,86.6965956,Null,Null,83.0041152,Null,Null,Null,Null,Null,90.0942655,Null,86.3770498,87.2113119,91.2518343,Null,80.7328826,88.2852988,Null,68.9337823,71.8303504,Null,87.0718315,88.2671548,Null,Null,Null,88.7938441,Null,Null,Null,89.5398277,Null,87.7770341,88.2793393,89.9662416,Null,82.2266135,81.2345291,Null,51.4762755,Null,Null,Null,Null,Null,Null,Null,41.0926455,Null,Null,Null,Null,Null,Null,Null,92.6604063
1,1012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101229310,Electrical Engineering,Null,Null,Null,Null,Null,Null,Null,Null,77226,80510,Null,Null,78055,Null,Null,136539,Null,Null,62352,Null,74433,68570,59637,Null,80470,77027,Null,132632,79823,Null,82248,Null,Null,Null,Null,Null,Null,85978,Null,69027,Null,68856,64063,67703,Null,66750,70293,Null,121462,Null,Null,Null,136069,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,54035,Null,Null,Null,Null,Null,Null,Null,Null,64.2666767,61.6881259,Null,Null,63.6910141,Null,Null,11.2906846,Null,Null,72.6119403,Null,65.9622938,69.2172491,73.6426530,Null,62.3996115,64.2666767,Null,16.3662375,62.4868401,Null,61.2935921,Null,Null,Null,Null,Null,Null,58.7124464,Null,69.0354573,Null,69.2172491,71.6354089,69.6572694,Null,70.2813361,68.3823818,Null,29.3464077,Null,Null,Null,11.6574699,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,76.7693871
1,1012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101237210,Electronics and Telecommunication Engg,99586,Null,105314,Null,Null,Null,Null,Null,52999,61377,Null,Null,72438,49149,Null,64496,Null,Null,38766,Null,52485,48301,36306,Null,76557,49474,Null,101207,Null,Null,63812,Null,Null,64668,Null,Null,Null,Null,Null,37622,Null,50328,48581,36110,Null,54145,59896,Null,Null,90911,Null,87291,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,34209,49.2213366,Null,44.4766130,Null,Null,Null,Null,Null,77.0079706,73.2522683,Null,Null,66.9527897,79.2648162,Null,71.4000828,Null,Null,83.8780770,Null,77.4241933,79.5863208,85.1488129,Null,64.4512569,78.8754662,Null,47.3870980,Null,Null,71.6671025,Null,Null,71.3590844,Null,Null,Null,Null,Null,84.3950599,Null,78.4065273,79.5208170,85.1537884,Null,76.7693871,73.6426530,Null,Null,55.4490884,Null,58.0840122,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,85.9227307
1,1012,"Government College of Engineering,Yavatmal",Yavatmal,Government,101261210,Mechanical Engineering,Null,Null,Null,Null,Null,Null,Null,Null,86719,Null,63593,Null,140543,Null,Null,85464,Null,Null,79624,Null,89267,80361,61942,Null,112853,85079,Null,127867,129674,Null,102627,63008,Null,Null,Null,Null,Null,Null,Null,100650,Null,107714,93781,81136,Null,112711,Null,Null,129643,Null,Null,Null,Null,Null,Null,Null,109381,Null,Null,Null,Null,Null,Null,Null,56098,Null,Null,Null,Null,Null,Null,Null,Null,58.1382561,Null,71.6671025,Null,5.0035420,Null,Null,58.7429854,Null,Null,62.7344336,Null,56.6563970,62.3996115,73.0265619,Null,37.7324111,58.8704519,Null,22.6551453,20.3198986,Null,46.4534231,71.9809302,Null,Null,Null,Null,Null,Null,Null,48.0589023,Null,42.5955447,53.1660451,61.6397637,Null,38.8357386,Null,Null,20.3198986,Null,Null,Null,Null,Null,Null,Null,41.0926455,Null,Null,Null,Null,Null,Null,Null,75.8673530
1,1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Shegaon,Un-Aided,110124210,Computer Science and Engineering,23928,Null,Null,Null,Null,Null,Null,Null,17134,21316,Null,Null,Null,19753,Null,Null,35307,Null,15664,Null,15196,14854,15252,Null,30173,27151,Null,93810,103315,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,15291,Null,15422,13862,14253,Null,25613,32854,Null,95619,Null,Null,42413,Null,Null,Null,Null,71361,Null,Null,Null,Null,Null,Null,Null,7094,90.2424513,Null,Null,Null,Null,Null,Null,Null,93.1305459,91.3483231,Null,Null,Null,92.1155289,Null,Null,85.3534944,Null,93.8067312,Null,93.9947487,94.1055620,93.9690179,Null,87.6216398,88.8621945,Null,53.1660451,46.1690466,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,93.9473684,Null,93.8586283,94.5800123,94.3700831,Null,89.5398277,86.3770498,Null,52.2466614,Null,Null,82.2266135,Null,Null,Null,Null,67.5703113,Null,Null,Null,Null,Null,Null,Null,97.2654813
1,1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Shegaon,Un-Aided,110124610,Information Technology,37061,Null,42747,Null,Null,Null,Null,Null,19270,26676,Null,Null,24105,Null,Null,Null,Null,Null,17148,Null,20546,19526,16534,Null,37565,33829,Null,70085,Null,Null,26939,34252,Null,Null,Null,Null,Null,Null,Null,Null,Null,17917,17697,20122,Null,33446,Null,Null,Null,113863,Null,Null,Null,Null,Null,Null,101242,Null,Null,Null,Null,Null,Null,Null,14193,84.5084815,Null,82.2034564,Null,Null,Null,Null,Null,92.2256284,89.1600241,Null,Null,90.1850615,Null,Null,Null,Null,Null,93.1305459,Null,91.7186508,92.1548708,93.4367098,Null,84.4304792,86.0392540,Null,68.4014140,Null,Null,88.9904805,85.9227307,Null,Null,Null,Null,Null,Null,Null,Null,Null,92.8392664,92.9051391,91.8049290,Null,86.1668982,Null,Null,Null,36.6068088,Null,Null,Null,Null,Null,Null,47.3870980,Null,Null,Null,Null,Null,Null,Null,94.3894513
1,1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Shegaon,Un-Aided,110135610,Electrical Engg[Electronics and Power],Null,Null,Null,Null,Null,Null,Null,Null,77843,Null,86314,Null,53997,Null,Null,61755,Null,Null,72066,Null,54163,52831,65479,Null,66416,75970,Null,94732,Null,Null,80109,Null,Null,Null,Null,Null,Null,Null,Null,66072,Null,49801,46107,59495,Null,64394,139056,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,29786,Null,Null,Null,Null,Null,Null,Null,Null,63.9730640,Null,58.5474069,Null,76.7693871,Null,Null,73.0265619,Null,Null,67.1534217,Null,76.7693871,77.4193548,71.1698646,Null,70.5106049,65.0367935,Null,52.5567137,Null,Null,62.3996115,Null,Null,Null,Null,Null,Null,Null,Null,70.6180504,Null,78.5775598,80.6210251,74.0797795,Null,71.4000828,7.5928328,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,87.7770341
1,1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Shegaon,Un-Aided,110137210,Electronics and Telecommunication Engg,116310,Null,Null,Null,Null,Null,Null,Null,46047,52986,Null,Null,37986,37071,Null,44928,73312,Null,35778,Null,36753,33662,30906,Null,51008,58052,Null,110733,Null,Null,Null,87898,Null,Null,Null,Null,Null,Null,Null,40123,Null,34988,34208,37742,Null,47231,57289,Null,Null,Null,Null,64594,Null,Null,Null,Null,141925,Null,Null,Null,Null,Null,Null,Null,24299,35.1345873,Null,Null,Null,Null,Null,Null,Null,80.6210251,77.0079706,Null,Null,84.2160540,84.4681938,Null,81.0174211,66.6716379,Null,85.1907088,Null,84.5158411,86.0518493,87.2543136,Null,78.3308876,75.0737739,Null,39.9066862,Null,Null,Null,57.7272051,Null,Null,Null,Null,Null,Null,Null,83.3483950,Null,85.4445126,85.9227307,84.3950599,Null,79.8081214,75.1687111,Null,Null,Null,Null,71.3590844,Null,Null,Null,Null,2.5768942,Null,Null,Null,Null,Null,Null,Null,90.1268014
