CAP_Round,College Code,Institute,Location,Status,Branch Code,Branch,DEFOPENS_Rank,DEFOBCS_Rank,DEFROBCS_Rank,DEFRNT1S_Rank,DEFRNT2S_Rank,DEFRNT3S_Rank,DEFRSCS_Rank,DEFRVJS_Rank,EWS_Rank,GNT1H_Rank,GNT1O_Rank,GNT1S_Rank,GNT2H_Rank,GNT2O_Rank,GNT2S_Rank,GNT3H_Rank,GNT3O_Rank,GNT3S_Rank,GOBCO_Rank,GOBCS_Rank,GOBCH_Rank,GOPENH_Rank,GOPENO_Rank,GOPENS_Rank,GSCH_Rank,GSCO_Rank,GSCS_Rank,GSTH_Rank,GSTO_Rank,GSTS_Rank,GVJH_Rank,GVJO_Rank,GVJS_Rank,LNT1O_Rank,LNT1S_Rank,LNT2O_Rank,LNT2S_Rank,LNT3O_Rank,LNT3S_Rank,LOBCO_Rank,LOBCS_Rank,LOBCH_Rank,LOPENH_Rank,LOPENO_Rank,LOPENS_Rank,LSCH_Rank,LSCO_Rank,LSCS_Rank,LSTH_Rank,LSTO_Rank,LSTS_Rank,LVJH_Rank,LVJO_Rank,LVJS_Rank,MI_Rank,ORPHAN_Rank,PWDOPENH_Rank,PWDOPENS_Rank,PWDROBC_Rank,PWDROBCS_Rank,PWDRNT2SPWDRNT3S_Rank,PWDRSCS_Rank,PWDSCS_Rank,PWDRVJS_Rank,TFWS_Rank,DEFOPENS_Percentile,DEFOBCS_Percentile,DEFROBCS_Percentile,DEFRNT1S_Percentile,DEFRNT2S_Percentile,DEFRNT3S_Percentile,DEFRSCS_Percentile,DEFRVJS_Percentile,EWS_Percentile,GNT1H_Percentile,GNT1O_Percentile,GNT1S_Percentile,GNT2H_Percentile,GNT2O_Percentile,GNT2S_Percentile,GNT3H_Percentile,GNT3O_Percentile,GNT3S_Percentile,GOBCO_Percentile,GOBCS_Percentile,GOBCH_Percentile,GOPENH_Percentile,GOPENO_Percentile,GOPENS_Percentile,GSCH_Percentile,GSCO_Percentile,GSCS_Percentile,GSTH_Percentile,GSTO_Percentile,GSTS_Percentile,GVJH_Percentile,GVJO_Percentile,GVJS_Percentile,LNT1O_Percentile,LNT1S_Percentile,LNT2O_Percentile,LNT2S_Percentile,LNT3O_Percentile,LNT3S_Percentile,LOBCO_Percentile,LOBCS_Percentile,LOBCH_Percentile,LOPENH_Percentile,LOPENO_Percentile,LOPENS_Percentile,LSCH_Percentile,LSCO_Percentile,LSCS_Percentile,LSTH_Percentile,LSTO_Percentile,LSTS_Percentile,LVJH_Percentile,LVJO_Percentile,LVJS_Percentile,MI_Percentile,ORPHAN_Percentile,PWDOPENH_Percentile,PWDOPENS_Percentile,PWDROBC_Percentile,PWDROBCS_Percentile,PWDRNT2SPWDRNT3S_Percentile,PWDRSCS_Percentile,PWDSCS_Percentile,PWDRVJS_Percentile,TFWS_Percentile
2,5160,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",Kopargaon,Un-Aided Autonomous,516091510,Structural Engineering,102410,Null,Null,Null,Null,Null,Null,Null,89172,Null,Null,Null,Null,Null,131178,Null,Null,109628,Null,115229,Null,Null,Null,105759,Null,Null,139557,Null,Null,110551,Null,Null,113693,Null,Null,Null,Null,Null,Null,Null,109861,Null,Null,Null,89072,Null,Null,Null,Null,Null,106552,Null,Null,114183,Null,114097,Null,106280,Null,Null,Null,Null,Null,Null,52389,46.4534231,Null,Null,Null,Null,Null,Null,Null,56.6563970,Null,Null,Null,Null,Null,18.4453326,Null,Null,40.6521983,Null,36.0298810,Null,Null,Null,43.6615489,Null,Null,6.4285981,Null,Null,39.9251777,Null,Null,37.1297299,Null,Null,Null,Null,Null,Null,Null,40.6521983,Null,Null,Null,56.7366842,Null,Null,Null,Null,Null,43.2248410,Null,Null,36.5842646,Null,36.5842646,Null,43.5071268,Null,Null,Null,Null,Null,Null,77.7994669
2,5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Ahmednagar,Un-Aided,516119110,Civil Engineering,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,135693,Null,Null,Null,Null,Null,134439,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,142094,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,142318,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,12.4194815,Null,Null,Null,Null,Null,13.9344262,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2.3315484,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.9167292,Null,Null,Null,Null,Null,Null,Null,Null
2,5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Ahmednagar,Un-Aided,516124510,Computer Engineering,Null,Null,Null,Null,Null,Null,Null,Null,42561,Null,Null,Null,Null,55400,Null,Null,Null,Null,48275,Null,46726,44331,119332,Null,Null,Null,Null,47921,Null,Null,101827,Null,Null,Null,Null,Null,Null,Null,Null,57264,Null,40063,41728,Null,Null,Null,Null,Null,44751,Null,Null,Null,Null,Null,Null,Null,43229,Null,Null,Null,Null,Null,Null,Null,18798,Null,Null,Null,Null,Null,Null,Null,Null,82.2034564,Null,Null,Null,Null,76.0463981,Null,Null,Null,Null,79.5863208,Null,80.0793682,81.2344165,31.7228694,Null,Null,Null,Null,79.7413145,Null,Null,47.3478734,Null,Null,Null,Null,Null,Null,Null,Null,75.1687111,Null,83.3483950,82.3346823,Null,Null,Null,Null,Null,81.0352521,Null,Null,Null,Null,Null,Null,Null,81.8555930,Null,Null,Null,Null,Null,Null,Null,92.4624424
2,5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Ahmednagar,Un-Aided,516124610,Information Technology,Null,Null,73233,Null,Null,Null,Null,Null,48904,Null,Null,Null,Null,Null,Null,54915,Null,Null,Null,Null,53451,52379,52204,Null,Null,68630,Null,52982,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,42613,51907,Null,Null,Null,Null,51783,52726,Null,Null,Null,Null,Null,Null,53482,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,66.6716379,Null,Null,Null,Null,Null,79.3939394,Null,Null,Null,Null,Null,Null,76.6166542,Null,Null,Null,Null,76.8406961,77.7994669,77.7994669,Null,Null,69.2172491,Null,77.0079706,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,82.2034564,77.9969992,Null,Null,Null,Null,78.0359147,77.4193548,Null,Null,Null,Null,Null,Null,76.8406961,Null,Null,Null,Null,Null,Null,Null,Null
2,5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Ahmednagar,Un-Aided,516125710,Computer Science and Design,60604,Null,Null,Null,Null,Null,Null,Null,50104,82164,Null,Null,Null,Null,Null,Null,97667,Null,77447,Null,62234,56206,56902,Null,Null,Null,Null,63524,59521,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,58602,53621,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,61232,Null,Null,Null,Null,Null,Null,Null,Null,73.3779089,Null,Null,Null,Null,Null,Null,Null,78.4161664,61.2935921,Null,Null,Null,Null,Null,Null,50.2663166,Null,64.0952985,Null,72.6119403,75.3496766,75.1725431,Null,Null,Null,Null,71.8303504,74.0797795,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,74.4658288,76.8406961,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,73.2522683,Null,Null,Null,Null,Null,Null,Null,Null
2,5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Ahmednagar,Un-Aided,516129310,Electrical Engineering,94792,Null,Null,Null,Null,Null,Null,Null,94359,Null,Null,Null,Null,Null,Null,Null,Null,Null,116263,Null,102200,94003,109888,Null,102086,127982,Null,105657,111287,Null,Null,Null,Null,Null,Null,108969,Null,Null,Null,Null,Null,Null,102138,97932,Null,110611,Null,Null,108154,Null,Null,Null,Null,Null,Null,109690,95095,Null,Null,Null,Null,Null,Null,Null,Null,52.5567137,Null,Null,Null,Null,Null,Null,Null,52.7422372,Null,Null,Null,Null,Null,Null,Null,Null,Null,35.1345873,Null,46.8567142,52.7523799,39.9699925,Null,46.8567142,22.0314735,Null,44.0513989,39.4392454,Null,Null,Null,Null,Null,Null,41.1609401,Null,Null,Null,Null,Null,Null,46.8567142,50.2663166,Null,39.9066862,Null,Null,42.5530244,Null,Null,Null,Null,Null,Null,40.6521983,52.5521047,Null,Null,Null,Null,Null,Null,Null,Null
2,5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Ahmednagar,Un-Aided,516137210,Electronics and Telecommunication Engg,74498,Null,Null,Null,Null,Null,Null,Null,70289,Null,Null,Null,Null,Null,Null,73156,Null,Null,89322,Null,75821,72852,79906,Null,99059,Null,Null,74651,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,85124,Null,73080,65192,59885,Null,Null,Null,Null,71199,77690,Null,Null,Null,Null,Null,73258,74840,Null,Null,Null,Null,Null,Null,Null,50761,65.9622938,Null,Null,Null,Null,Null,Null,Null,68.3823818,Null,Null,Null,Null,Null,Null,66.6716379,Null,Null,56.6563970,Null,65.0367935,66.8171727,62.4868401,Null,49.5548073,Null,Null,65.9622938,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,58.8704519,Null,66.6716379,71.1698646,73.6426530,Null,Null,Null,Null,67.7119280,63.9730640,Null,Null,Null,Null,Null,66.6716379,65.4207881,Null,Null,Null,Null,Null,Null,Null,78.3430016
2,5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Ahmednagar,Un-Aided,516137810,Electronics Engineering ( VLSI Design and Technology),Null,Null,Null,Null,Null,Null,Null,Null,130309,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,123064,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,90818,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,136196,Null,Null,Null,Null,Null,Null,Null,135852,Null,Null,Null,Null,Null,Null,Null,Null,19.6543598,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,27.6545345,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,55.4490884,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,11.4340144,Null,Null,Null,Null,Null,Null,Null,12.1380345
2,5161,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar",Ahmednagar,Un-Aided,516161210,Mechanical Engineering,Null,Null,Null,Null,Null,Null,Null,Null,110489,127073,Null,Null,Null,98928,Null,Null,Null,Null,102742,Null,120816,95414,109185,Null,126549,137646,Null,127142,Null,Null,Null,117619,Null,Null,Null,Null,Null,Null,Null,Null,Null,123007,122330,Null,Null,127093,Null,Null,116158,Null,Null,129004,Null,Null,Null,126494,115464,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,39.9251777,23.2280676,Null,Null,Null,49.5548073,Null,Null,Null,Null,46.4499379,Null,30.0860456,52.2466614,41.1609401,Null,24.0591998,9.4916141,Null,23.2280676,Null,Null,Null,33.2472877,Null,Null,Null,Null,Null,Null,Null,Null,Null,27.6545345,28.6046774,Null,Null,23.2280676,Null,Null,35.1345873,Null,Null,20.9352787,Null,Null,Null,24.0591998,35.6245090,Null,Null,Null,Null,Null,Null,Null,Null
2,5162,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",Sangamner,Un-Aided,516219110,Civil Engineering,116195,Null,Null,Null,Null,Null,Null,Null,132750,127358,121284,Null,133820,Null,Null,111272,Null,Null,120442,Null,120655,108930,115171,Null,141992,127747,Null,113546,125521,Null,130920,Null,Null,Null,Null,Null,Null,124269,Null,Null,Null,121260,109064,Null,Null,138746,123294,Null,127134,124735,Null,Null,126389,Null,Null,126491,113063,Null,Null,Null,Null,Null,Null,Null,Null,35.1345873,Null,Null,Null,Null,Null,Null,Null,16.2430441,22.9499823,29.4111028,Null,15.1933187,Null,Null,39.4392454,Null,Null,30.5890703,Null,30.0860456,41.1609401,36.0298810,Null,2.5140292,22.6551453,Null,37.1297299,25.2074392,Null,18.8110994,Null,Null,Null,Null,Null,Null,26.2033481,Null,Null,Null,29.4111028,41.1609401,Null,Null,7.7808076,27.3241113,Null,23.2280676,26.0127532,Null,Null,24.0591998,Null,Null,24.0591998,37.7324111,Null,Null,Null,Null,Null,Null,Null,Null
