CAP_Round,College Code,Institute,Location,Status,Branch Code,Branch,DEFOPENS_Rank,DEFOBCS_Rank,DEFROBCS_Rank,DEFRNT1S_Rank,DEFRNT2S_Rank,DEFRNT3S_Rank,DEFRSCS_Rank,DEFRVJS_Rank,EWS_Rank,GNT1H_Rank,GNT1O_Rank,GNT1S_Rank,GNT2H_Rank,GNT2O_Rank,GNT2S_Rank,GNT3H_Rank,GNT3O_Rank,GNT3S_Rank,GOBCO_Rank,GOBCS_Rank,GOBCH_Rank,GOPENH_Rank,GOPENO_Rank,GOPENS_Rank,GSCH_Rank,GSCO_Rank,GSCS_Rank,GSTH_Rank,GSTO_Rank,GSTS_Rank,GVJH_Rank,GVJO_Rank,GVJS_Rank,LNT1O_Rank,LNT1S_Rank,LNT2O_Rank,LNT2S_Rank,LNT3O_Rank,LNT3S_Rank,LOBCO_Rank,LOBCS_Rank,LOBCH_Rank,LOPENH_Rank,LOPENO_Rank,LOPENS_Rank,LSCH_Rank,LSCO_Rank,LSCS_Rank,LSTH_Rank,LSTO_Rank,LSTS_Rank,LVJH_Rank,LVJO_Rank,LVJS_Rank,MI_Rank,ORPHAN_Rank,PWDOPENH_Rank,PWDOPENS_Rank,PWDROBC_Rank,PWDROBCS_Rank,PWDRNT2SPWDRNT3S_Rank,PWDRSCS_Rank,PWDSCS_Rank,PWDRVJS_Rank,TFWS_Rank,DEFOPENS_Percentile,DEFOBCS_Percentile,DEFROBCS_Percentile,DEFRNT1S_Percentile,DEFRNT2S_Percentile,DEFRNT3S_Percentile,DEFRSCS_Percentile,DEFRVJS_Percentile,EWS_Percentile,GNT1H_Percentile,GNT1O_Percentile,GNT1S_Percentile,GNT2H_Percentile,GNT2O_Percentile,GNT2S_Percentile,GNT3H_Percentile,GNT3O_Percentile,GNT3S_Percentile,GOBCO_Percentile,GOBCS_Percentile,GOBCH_Percentile,GOPENH_Percentile,GOPENO_Percentile,GOPENS_Percentile,GSCH_Percentile,GSCO_Percentile,GSCS_Percentile,GSTH_Percentile,GSTO_Percentile,GSTS_Percentile,GVJH_Percentile,GVJO_Percentile,GVJS_Percentile,LNT1O_Percentile,LNT1S_Percentile,LNT2O_Percentile,LNT2S_Percentile,LNT3O_Percentile,LNT3S_Percentile,LOBCO_Percentile,LOBCS_Percentile,LOBCH_Percentile,LOPENH_Percentile,LOPENO_Percentile,LOPENS_Percentile,LSCH_Percentile,LSCO_Percentile,LSCS_Percentile,LSTH_Percentile,LSTO_Percentile,LSTS_Percentile,LVJH_Percentile,LVJO_Percentile,LVJS_Percentile,MI_Percentile,ORPHAN_Percentile,PWDOPENH_Percentile,PWDOPENS_Percentile,PWDROBC_Percentile,PWDROBCS_Percentile,PWDRNT2SPWDRNT3S_Percentile,PWDRSCS_Percentile,PWDSCS_Percentile,PWDRVJS_Percentile,TFWS_Percentile
3,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100219110,Civil Engineering,Null,Null,129672,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,42935,Null,Null,Null,41293,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,20303,Null,Null,Null,Null,Null,66083,Null,Null,Null,Null,45169,Null,Null,Null,Null,Null,Null,Null,Null,44323,Null,Null,20.3198986,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,82.1650299,Null,Null,Null,82.5401330,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,91.7656790,Null,Null,Null,Null,Null,70.6180504,Null,Null,Null,Null,81.0090469,Null,Null,Null,Null,Null,Null,Null,Null,81.2344165
3,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100224210,Computer Science and Engineering,Null,Null,Null,Null,Null,Null,Null,Null,10798,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,5640,Null,Null,Null,Null,Null,Null,Null,Null,23177,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,95.7719768,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,97.8185350,Null,Null,Null,Null,Null,Null,Null,Null,90.6234798,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100224610,Information Technology,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,25898,Null,Null,Null,Null,Null,7015,Null,Null,17291,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,89.4065093,Null,Null,Null,Null,Null,97.2746725,Null,Null,93.1024197,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100229310,Electrical Engineering,Null,Null,Null,Null,Null,Null,Null,Null,39749,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,43807,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,110694,Null,Null,Null,Null,Null,23573,Null,Null,Null,Null,Null,139232,Null,Null,Null,Null,Null,Null,16325,Null,Null,Null,Null,Null,Null,27067,Null,Null,Null,Null,Null,Null,Null,Null,83.3890161,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,81.4853713,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,39.9066862,Null,Null,Null,Null,Null,90.4938272,Null,Null,Null,Null,Null,7.5516424,Null,Null,Null,Null,Null,Null,93.5213570,Null,Null,Null,Null,Null,Null,88.9154021
3,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100237210,Electronics and Telecommunication Engg,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,13135,Null,Null,27738,Null,Null,87083,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,8514,Null,Null,34655,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,18211,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,94.8416105,Null,Null,88.6736154,Null,Null,58.1195238,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,96.6904656,Null,Null,85.6187666,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,92.6748971
3,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100246610,Instrumentation Engineering,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,108041,Null,Null,Null,Null,47316,Null,Null,Null,44818,Null,Null,80268,Null,Null,Null,Null,Null,Null,Null,75730,Null,Null,Null,Null,Null,Null,Null,Null,Null,39830,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,73462,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,42.5530244,Null,Null,Null,Null,79.8081214,Null,Null,Null,81.0352521,Null,Null,62.3996115,Null,Null,Null,Null,Null,Null,Null,65.1075350,Null,Null,Null,Null,Null,Null,Null,Null,Null,83.3890161,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,66.4309764
3,1002,"Government College of Engineering, Amravati",Amravati,Government Autonomous,100261210,Mechanical Engineering,36389,Null,Null,Null,Null,Null,Null,Null,44372,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,28185,Null,Null,35874,Null,Null,37389,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,55053,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,39568,Null,Null,Null,Null,Null,Null,Null,Null,40144,84.9532361,Null,Null,Null,Null,Null,Null,Null,81.2344165,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,88.4658665,Null,Null,85.1782223,Null,Null,84.4494892,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,76.2843676,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,83.4053417,Null,Null,Null,Null,Null,Null,Null,Null,83.3483950
3,1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100550310,Food Technology,104422,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,121366,88784,105571,Null,Null,Null,Null,133050,Null,Null,124705,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,40550,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,88083,Null,Null,Null,Null,Null,Null,Null,Null,45.6445719,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,29.4111028,56.7366842,44.0513989,Null,Null,Null,Null,15.9315290,Null,Null,26.0127532,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,83.2373857,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,56.9822530,Null,Null,Null,Null,Null,Null,Null,Null
3,1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100551710,Oil and Paints Technology,76645,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,90400,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,97678,Null,Null,Null,Null,Null,Null,Null,103631,Null,Null,Null,Null,Null,Null,Null,Null,64.4512569,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,55.7163295,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,50.2663166,Null,Null,Null,Null,Null,Null,Null,45.9664342,Null,Null,Null,Null,Null,Null,Null,Null
3,1005,"Sant Gadge Baba Amravati University,Amravati",Amravati,University Department,100552710,Petro Chemical Engineering,119925,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,137595,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,110636,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,123856,Null,Null,Null,Null,Null,Null,Null,Null,30.9520229,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,9.4916141,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,39.9066862,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,26.9098391,Null,Null,Null,Null,Null,Null,Null,Null
3,1012,"Government College of Engineering,Yavatmal",Yavatmal,Government Home University : Sant Gadge Baba Amravati University,101219110,Civil Engineering,93184,Null,Null,Null,Null,Null,Null,Null,60975,Null,Null,Null,Null,120237,Null,99715,Null,Null,108469,Null,94031,88886,77325,Null,92238,105883,Null,101287,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,123232,Null,Null,78603,53834,Null,Null,Null,Null,Null,98770,Null,Null,Null,Null,Null,102047,91062,Null,Null,Null,Null,Null,Null,Null,64080,53.6496624,Null,Null,Null,Null,Null,Null,Null,73.2701208,Null,Null,Null,Null,30.5964599,Null,49.2213366,Null,Null,42.4233825,Null,52.7523799,56.7366842,64.0952985,Null,54.6296296,43.6615489,Null,47.3870980,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,27.3241113,Null,Null,63.6508999,76.8390440,Null,Null,Null,Null,Null,49.5548073,Null,Null,Null,Null,Null,46.8567142,55.2985075,Null,Null,Null,Null,Null,Null,Null,71.6354089
3,1012,"Government College of Engineering,Yavatmal",Yavatmal,Government Home University : Sant Gadge Baba Amravati University,101224510,Computer Engineering,43643,Null,Null,Null,Null,Null,Null,Null,29378,Null,Null,Null,Null,Null,Null,Null,Null,Null,31288,Null,27937,26235,31061,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,39771,Null,Null,Null,30196,Null,Null,25903,20144,Null,Null,50916,Null,Null,Null,Null,Null,Null,Null,Null,31428,Null,Null,Null,Null,Null,Null,Null,Null,Null,81.5104589,Null,Null,Null,Null,Null,Null,Null,88.0695638,Null,Null,Null,Null,Null,Null,Null,Null,Null,87.0718315,Null,88.6173431,89.3527871,87.2266503,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,83.3890161,Null,Null,Null,87.6216398,Null,Null,89.4065093,91.8049290,Null,Null,78.3308876,Null,Null,Null,Null,Null,Null,Null,Null,87.0556299,Null,Null,Null,Null,Null,Null,Null,Null,Null
3,1012,"Government College of Engineering,Yavatmal",Yavatmal,Government Home University : Sant Gadge Baba Amravati University,101229310,Electrical Engineering,66700,Null,Null,Null,Null,Null,Null,Null,97980,Null,Null,Null,Null,Null,Null,Null,Null,Null,71404,Null,82073,60840,68470,Null,84113,75620,Null,Null,Null,Null,80619,Null,Null,Null,Null,Null,Null,85978,Null,Null,Null,77147,65328,Null,Null,Null,72626,Null,Null,Null,Null,Null,Null,Null,Null,73069,73617,Null,Null,Null,Null,Null,Null,Null,Null,70.2813361,Null,Null,Null,Null,Null,Null,Null,49.6513702,Null,Null,Null,Null,Null,Null,Null,Null,Null,67.5703113,Null,61.2935921,73.2701208,69.3042857,Null,59.9156802,65.1075350,Null,Null,Null,Null,61.6881259,Null,Null,Null,Null,Null,Null,58.7124464,Null,Null,Null,64.2666767,71.1698646,Null,Null,Null,66.9527897,Null,Null,Null,Null,Null,Null,Null,Null,66.6716379,66.4309764,Null,Null,Null,Null,Null,Null,Null,Null
3,1012,"Government College of Engineering,Yavatmal",Yavatmal,Government Home University : Sant Gadge Baba Amravati University,101237210,Electronics and Telecommunication Engg,Null,Null,Null,Null,Null,Null,Null,Null,47741,Null,Null,Null,Null,Null,Null,Null,Null,Null,52983,Null,59412,53521,42593,Null,54106,52392,Null,90371,Null,Null,Null,Null,Null,79530,Null,Null,Null,Null,Null,42754,Null,Null,48581,39645,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,42475,Null,Null,Null,Null,Null,Null,Null,Null,79.7807688,Null,Null,Null,Null,Null,Null,Null,Null,Null,77.0079706,Null,74.0797795,76.8406961,82.2034564,Null,76.7693871,77.7994669,Null,55.7163295,Null,Null,Null,Null,Null,62.7344336,Null,Null,Null,Null,Null,82.2034564,Null,Null,79.5208170,83.4053417,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,82.2266135
3,1012,"Government College of Engineering,Yavatmal",Yavatmal,Government Home University : Sant Gadge Baba Amravati University,101261210,Mechanical Engineering,95086,Null,Null,Null,Null,Null,Null,Null,124914,Null,Null,Null,Null,Null,Null,96668,Null,Null,98757,Null,102156,90350,76291,Null,103032,114392,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,117771,Null,96332,75244,100650,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,104299,Null,Null,Null,Null,Null,Null,Null,Null,Null,52.5521047,Null,Null,Null,Null,Null,Null,Null,25.5459544,Null,Null,Null,Null,Null,Null,51.0567213,Null,Null,49.5548073,Null,46.8567142,55.7163295,64.4805659,Null,46.1690466,36.3578395,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,33.2472877,Null,51.4762755,65.3263316,48.0589023,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,45.8483896,Null,Null,Null,Null,Null,Null,Null,Null,Null
